ID|Transcription|Normalized transcription
LJ028-0030|"Your journey is at an end. Before you is Babylon, the ""Gate of God,"" as the old name means."|"Your journey is at an end. Before you is Babylon, the ""Gate of God,"" as the old name means."
LJ028-0031|About you is all that remains of the second of the Seven Wonders of the World.|About you is all that remains of the second of the Seven Wonders of the World.
LJ028-0032|Babylon, even in the days of Nebuchadnezzar, was an old, old city.|Babylon, even in the days of Nebuchadnezzar, was an old, old city.
LJ028-0033|There is a Hebrew tradition that it was the oldest of all cities, but now we know that great empires flourished and passed away before Babylon was built.|There is a Hebrew tradition that it was the oldest of all cities, but now we know that great empires flourished and passed away before Babylon was built.
LJ028-0034|Old King Sargon I., who may have lived as early as three thousand eight hundred B.C.,|Old King Sargon I., who may have lived as early as three thousand eight hundred B.C.,
LJ028-0035|seems to have been the first to mention Babylon, and one of his inscriptions seems to say that he built the city and gave it its name.|seems to have been the first to mention Babylon, and one of his inscriptions seems to say that he built the city and gave it its name.
LJ028-0036|But in those very early days Babylon was little more than a shrine, surrounded with mud huts and date palms.|But in those very early days Babylon was little more than a shrine, surrounded with mud huts and date palms.
LJ028-0037|It was about 2250 B.C., when the great Hammurabi made it his capital, that it became the chief city of Babylonia.|It was about twenty-two fifty B.C., when the great Hammurabi made it his capital, that it became the chief city of Babylonia.
LJ028-0038|Its history for the next fifteen hundred years or more is obscure.|Its history for the next fifteen hundred years or more is obscure.
LJ028-0039|We know the names of its kings, and the records speak of long wars with the Assyrians.|We know the names of its kings, and the records speak of long wars with the Assyrians.
LJ028-0040|In the year six eighty-nine B.C., Sinacherib, King of Nineveh, captured Babylon,|In the year six eighty-nine B.C., Sinacherib, King of Nineveh, captured Babylon,
LJ028-0041|tore down its palaces and temples and walls, and scraped even the foundations of the city into the river.|tore down its palaces and temples and walls, and scraped even the foundations of the city into the river.
LJ028-0042|The place where the old city had stood for three thousand years again became a desert.|The place where the old city had stood for three thousand years again became a desert.
LJ028-0043|Esarhaddon, the son of Sinacherib, was the next King of Nineveh.|Esarhaddon, the son of Sinacherib, was the next King of Nineveh.
LJ028-0044|He rebuilt Babylon that in accordance with the ancient custom he might be crowned in the sacred city.|He rebuilt Babylon that in accordance with the ancient custom he might be crowned in the sacred city.
LJ028-0045|When Esarhaddon died, one of his sons, Samas-sum-yukin, was made King of Babylon.|When Esarhaddon died, one of his sons, Samas-sum-yukin, was made King of Babylon.
LJ028-0046|Another son, Assurbanipal, or the great Sardanapalus of the Greeks, became the King of Nineveh.|Another son, Assurbanipal, or the great Sardanapalus of the Greeks, became the King of Nineveh.
LJ028-0047|War broke out between the two brothers, and again Babylon was captured.|War broke out between the two brothers, and again Babylon was captured.
LJ028-0048|In 626 Assurbanipal died,|In six twenty-six Assurbanipal died,
LJ028-0049|and in that same year Nabopolassar, the father of the great Nebuchadnezzar, became the King of Babylon.|and in that same year Nabopolassar, the father of the great Nebuchadnezzar, became the King of Babylon.
LJ028-0050|The building of the Babylon so famous in history began with Nabopolassar.|The building of the Babylon so famous in history began with Nabopolassar.
LJ028-0051|He enlarged the old city, erected temples, and began the construction of its walls.|He enlarged the old city, erected temples, and began the construction of its walls.
LJ028-0052|In 606, Nineveh, the old enemy of Babylon, fell, never to rise again.|In six oh six, Nineveh, the old enemy of Babylon, fell, never to rise again.
LJ028-0053|The next year, in 605, Nabopolassar died, and Nebuchadnezzar succeeded him to the throne.|The next year, in six oh five, Nabopolassar died, and Nebuchadnezzar succeeded him to the throne.
LJ028-0054|He continued the building operations of his father, until Babylon became the greatest city of its age,|He continued the building operations of his father, until Babylon became the greatest city of its age,
LJ028-0055|and surrounded it with walls the like of which no other city has ever seen.|and surrounded it with walls the like of which no other city has ever seen.
LJ028-0056|Nebuchadnezzar, or Nebuchadrezzar, as his name should be spelled, was the greatest character in Babylonian history,|Nebuchadnezzar, or Nebuchadrezzar, as his name should be spelled, was the greatest character in Babylonian history,
LJ028-0057|but about his name so many legends have grown that it is sometimes difficult to learn the facts of his life.|but about his name so many legends have grown that it is sometimes difficult to learn the facts of his life.
LJ028-0058|Early he married Amuhia, a daughter of the Medean king.|Early he married Amuhia, a daughter of the Medean king.
LJ028-0059|His military career began while he was still the crown prince, and his father was on the throne.|His military career began while he was still the crown prince, and his father was on the throne.
LJ028-0060|In 605,|In six oh five,
LJ028-0061|at the head of the Babylonian army, he defeated the Egyptians in the famous battle of Carchemish, the old Hittite capital,|at the head of the Babylonian army, he defeated the Egyptians in the famous battle of Carchemish, the old Hittite capital,
LJ028-0062|and drove them from Asia.|and drove them from Asia.
LJ028-0063|Then Syria and Palestine were added to his future empire.|Then Syria and Palestine were added to his future empire.
LJ028-0064|In 597, when he sent his army to Jerusalem, he won the hatred of the Jews by taking Jehoiakin, the King, captive.|In five ninety-seven, when he sent his army to Jerusalem, he won the hatred of the Jews by taking Jehoiakin, the King, captive.
LJ028-0065|Eleven years later, in 586, he destroyed the sacred Hebrew city,|Eleven years later, in five eighty-six, he destroyed the sacred Hebrew city,
LJ028-0066|transported the Jews to Babylon, and brought the Hebrew kingdom to an end.|transported the Jews to Babylon, and brought the Hebrew kingdom to an end.
LJ028-0067|Centuries afterward, even to this day, Jewish mothers teach their children to hate his name.|Centuries afterward, even to this day, Jewish mothers teach their children to hate his name.
LJ028-0068|They tell how he forced the exiles to carry heavy bags of sand across the desert to increase their burdens;|They tell how he forced the exiles to carry heavy bags of sand across the desert to increase their burdens;
LJ028-0069|how he cast Hebrew lads into a fiery furnace and into the lions' den,|how he cast Hebrew lads into a fiery furnace and into the lions' den,
LJ028-0070|and how, in punishment for all his wickedness, he became a calf, and for seven years grazed the grass in the fields about the city.|and how, in punishment for all his wickedness, he became a calf, and for seven years grazed the grass in the fields about the city.
LJ028-0071|Late in his life, in 567, he invaded Egypt.|Late in his life, in five sixty-seven, he invaded Egypt.
LJ028-0072|During all his reign there was little peace in his great mixed turbulent empire.|During all his reign there was little peace in his great mixed turbulent empire.
LJ028-0073|The walls of the palaces of many of the Assyrian kings were lined with great stone slabs engraved with reliefs and sometimes with the portrait of a king.|The walls of the palaces of many of the Assyrian kings were lined with great stone slabs engraved with reliefs and sometimes with the portrait of a king.
LJ028-0074|But in Babylonia stone was difficult to obtain, and sculptures were very rare.|But in Babylonia stone was difficult to obtain, and sculptures were very rare.
LJ028-0075|Therefore it was useless to hope that Nebuchadnezzar's portrait would be found on his palace walls.|Therefore it was useless to hope that Nebuchadnezzar's portrait would be found on his palace walls.
LJ028-0076|However, several decades ago, an Oriental appeared at the Berlin Museum,|However, several decades ago, an Oriental appeared at the Berlin Museum,
LJ028-0077|offering for sale a small cameo engraved with a helmeted head of a Greek type.|offering for sale a small cameo engraved with a helmeted head of a Greek type.
LJ028-0078|About the head was an inscription in Greek characters saying that the face was that of Nebuchadnezzar.|About the head was an inscription in Greek characters saying that the face was that of Nebuchadnezzar.
LJ028-0079|The museum authorities believed that the cameo was one of the many spurious objects which the Eastern forgers were constantly sending to Europe,|The museum authorities believed that the cameo was one of the many spurious objects which the Eastern forgers were constantly sending to Europe,
LJ028-0080|yet they took an impression of it, and returned it to its owner.|yet they took an impression of it, and returned it to its owner.
LJ028-0081|Years later, when the archaeologists could readily distinguish the false from the true,|Years later, when the archaeologists could readily distinguish the false from the true,
LJ028-0082|it was recognized that the cameo was genuine, and that it bore the likeness of the great King.|it was recognized that the cameo was genuine, and that it bore the likeness of the great King.
LJ028-0083|Unfortunately, the little stone seal, perhaps the only one to preserve for us his features, appears to have been lost for ever.|Unfortunately, the little stone seal, perhaps the only one to preserve for us his features, appears to have been lost for ever.
LJ028-0084|Its impression shows the face of a beardless young man, intelligent and refined.|Its impression shows the face of a beardless young man, intelligent and refined.
LJ028-0085|The eyes are suggestive of the Semitic; the nose is of the Greek type;|The eyes are suggestive of the Semitic; the nose is of the Greek type;
LJ028-0086|the lips are thin, the chin prominent; the neck is that of a strong vigorous man.|the lips are thin, the chin prominent; the neck is that of a strong vigorous man.
LJ028-0087|Such was the appearance of the builder of the walls of Babylon.|Such was the appearance of the builder of the walls of Babylon.
LJ028-0088|Religion and cruelty frequently go hand in hand, and Nebuchadnezzar was exceedingly religious.|Religion and cruelty frequently go hand in hand, and Nebuchadnezzar was exceedingly religious.
LJ028-0089|Though a great warrior, it was not for his military deeds that he was best known.|Though a great warrior, it was not for his military deeds that he was best known.
LJ028-0090|He was fond of restoring the ruined temples of the old Babylonian cities,|He was fond of restoring the ruined temples of the old Babylonian cities,
LJ028-0091|and most of the records which have come from his time speak chiefly of his deeds of piety.|and most of the records which have come from his time speak chiefly of his deeds of piety.
LJ028-0092|Read the introduction to any of his inscriptions, of which the following is one, and you will call him vain and proud,|Read the introduction to any of his inscriptions, of which the following is one, and you will call him vain and proud,
LJ028-0093|but his scribe wrote it in the manner customary for the scribes of those days to write of their royal masters.|but his scribe wrote it in the manner customary for the scribes of those days to write of their royal masters.
LJ028-0094|Nebuchadnezzar, King of Babylon, the exalted prince, the favorite of Marduk, the lofty patesi,|Nebuchadnezzar, King of Babylon, the exalted prince, the favorite of Marduk, the lofty patesi,
LJ028-0095|the beloved of Nabu, the arbiter, the possessor of wisdom, who seeks out the path of their divinity,|the beloved of Nabu, the arbiter, the possessor of wisdom, who seeks out the path of their divinity,
LJ028-0096|who reverences their lordship; the untiring governor, who ponders daily concerning the maintenance of Esagil and Ezida,|who reverences their lordship; the untiring governor, who ponders daily concerning the maintenance of Esagil and Ezida,
LJ028-0097|and is continually anxious for the shrines of Babylon and Borsippa;|and is continually anxious for the shrines of Babylon and Borsippa;
LJ028-0098|the wise, the pious, the maintainer of Esagil and Ezida,|the wise, the pious, the maintainer of Esagil and Ezida,
LJ028-0099|the first-born son of Nabopolassar, King of Babylon, am I.|the first-born son of Nabopolassar, King of Babylon, am I.
LJ028-0100|However cruel and religiously intolerant Nebuchadnezzar may have been, he was undoubtedly the greatest builder the world has ever seen.|However cruel and religiously intolerant Nebuchadnezzar may have been, he was undoubtedly the greatest builder the world has ever seen.
LJ028-0101|There is scarcely one of the thousands of ruin mounds in Babylonia which does not contain bricks bearing his name.|There is scarcely one of the thousands of ruin mounds in Babylonia which does not contain bricks bearing his name.
LJ028-0102|There is scarcely a royal record from his reign which is not chiefly occupied with descriptions of his building operations.|There is scarcely a royal record from his reign which is not chiefly occupied with descriptions of his building operations.
LJ028-0103|He rebuilt scores of the ancient temples, surrounded many cities with walls,|He rebuilt scores of the ancient temples, surrounded many cities with walls,
LJ028-0104|lined the shores of the rivers with embankments, and spanned the rivers with bridges.|lined the shores of the rivers with embankments, and spanned the rivers with bridges.
LJ028-0105|Tradition says that to please his foreign wife from the mountainous country he built the famous hanging gardens, but that may be only a tradition.|Tradition says that to please his foreign wife from the mountainous country he built the famous hanging gardens, but that may be only a tradition.
LJ028-0106|His palace in Babylon was one of the world's largest buildings, but the walls with which he protected his palace and city were the wonder of the whole world.|His palace in Babylon was one of the world's largest buildings, but the walls with which he protected his palace and city were the wonder of the whole world.
LJ028-0107|The ancients never tired of describing them.|The ancients never tired of describing them.
LJ028-0108|Fortunately in several of his long inscriptions, recently discovered in the Babylonian mounds, Nebuchadnezzar speaks of the building of the walls.|Fortunately in several of his long inscriptions, recently discovered in the Babylonian mounds, Nebuchadnezzar speaks of the building of the walls.
LJ028-0109|In one of them he says:|In one of them he says:
LJ028-0110|I completed Imgur-Bel and Nimitti-Bel, the great walls of Babylon, the mighty city, the city of his exalted power.|I completed Imgur-Bel and Nimitti-Bel, the great walls of Babylon, the mighty city, the city of his exalted power.
LJ028-0111|At the entrance of the great gates I erected strong bulls of bronze, and terrible serpents standing upright.|At the entrance of the great gates I erected strong bulls of bronze, and terrible serpents standing upright.
LJ028-0112|My father did that which no previous king had done.|My father did that which no previous king had done.
LJ028-0113|With mortar and bricks he built two moat-walls about the city,|With mortar and bricks he built two moat-walls about the city,
LJ028-0114|and I, with mortar and bricks, built a third great moat-wall, and joined it and united it closely with the moat-walls of my father.|and I, with mortar and bricks, built a third great moat-wall, and joined it and united it closely with the moat-walls of my father.
LJ028-0115|I laid its foundation deep to the water level;|I laid its foundation deep to the water level;
LJ028-0116|I raised its summit mountain high. I constructed a moat-wall of burned bricks about the west wall of Babylon.|I raised its summit mountain high. I constructed a moat-wall of burned bricks about the west wall of Babylon.
LJ028-0117|My father built the moat-wall of the Arachtu canal securely with mortar and bricks.|My father built the moat-wall of the Arachtu canal securely with mortar and bricks.
LJ028-0118|He built well the quays along the opposite shore of the Euphrates, but he did not finish all his work,|He built well the quays along the opposite shore of the Euphrates, but he did not finish all his work,
LJ028-0119|but I, his first-born, the beloved of his heart,|but I, his first-born, the beloved of his heart,
LJ028-0120|built the moat-walls of Arachtu with mortar and bricks, and, joining them together with those of my father, made them very solid.|built the moat-walls of Arachtu with mortar and bricks, and, joining them together with those of my father, made them very solid.
LJ028-0121|A thing which no king before had ever done:|A thing which no king before had ever done:
LJ028-0122|To the west of Babylon, at a greater distance from the outer wall, I constructed an enclosing wall four thousand cubits in length about the city.|To the west of Babylon, at a greater distance from the outer wall, I constructed an enclosing wall four thousand cubits in length about the city.
LJ028-0123|I dug its moat to the water level.|I dug its moat to the water level.
LJ028-0124|I walled up its side with mortar and burned bricks, and I united it securely with the moat-walls of my father.|I walled up its side with mortar and burned bricks, and I united it securely with the moat-walls of my father.
LJ028-0125|Along its edge I built a great wall of mortar and burned bricks mountain high.|Along its edge I built a great wall of mortar and burned bricks mountain high.
LJ028-0126|Berossus, a priest of the temple of Bel at Babylon, writing about 250 B.C.,|Berossus, a priest of the temple of Bel at Babylon, writing about two fifty B.C.,
LJ028-0127|was living in the city while the walls were still standing, though in a ruinous condition.|was living in the city while the walls were still standing, though in a ruinous condition.
LJ028-0128|His brief description of them should not be omitted. He says that Nebuchadnezzar|His brief description of them should not be omitted. He says that Nebuchadnezzar
LJ028-0129|built three walls round about the inner city, and three others about that which was the outer; and this he did with burnt brick.|built three walls round about the inner city, and three others about that which was the outer; and this he did with burnt brick.
LJ028-0130|And after he had walled the city, and adorned its gates, he built another palace before his father's palace; but so that they joined to it:|And after he had walled the city, and adorned its gates, he built another palace before his father's palace; but so that they joined to it:
LJ028-0131|to describe whose vast height and immense riches it would perhaps be too much for me to attempt.|to describe whose vast height and immense riches it would perhaps be too much for me to attempt.
LJ028-0132|Yet as large and lofty as they were, they were completed in fifteen days.|Yet as large and lofty as they were, they were completed in fifteen days.
LJ028-0133|He also erected elevated places for walking, of stone; and made it resemble mountains: and built it so that it might be planted with all sorts of trees.|He also erected elevated places for walking, of stone; and made it resemble mountains: and built it so that it might be planted with all sorts of trees.
LJ028-0134|He also erected what is called a pensile paradise:|He also erected what is called a pensile paradise:
LJ028-0136|Of all the ancient descriptions of the famous walls and the city they protected, that of Herodotus is the fullest.|Of all the ancient descriptions of the famous walls and the city they protected, that of Herodotus is the fullest.
LJ028-0137|Perhaps Herodotus had never been in Babylon;|Perhaps Herodotus had never been in Babylon;
LJ028-0138|perhaps the tales that travelers told him were exaggerated as travelers' tales are likely to be,|perhaps the tales that travelers told him were exaggerated as travelers' tales are likely to be,
LJ028-0139|yet he at least tried to be accurate. He says:|yet he at least tried to be accurate. He says:
LJ028-0140|The city stands on a broad plain, and is an exact square, a hundred and twenty furlongs in length each way,|The city stands on a broad plain, and is an exact square, a hundred and twenty furlongs in length each way,
LJ028-0141|so that the entire circuit is four hundred and eighty furlongs.|so that the entire circuit is four hundred and eighty furlongs.
LJ028-0142|While such is its size, in magnificence there is no other city that approaches to it.|While such is its size, in magnificence there is no other city that approaches to it.
LJ028-0143|It is surrounded, in the first place, by a broad and deep moat, full of water, behind which rises a wall|It is surrounded, in the first place, by a broad and deep moat, full of water, behind which rises a wall
LJ028-0144|fifty royal cubits in width, and two hundred in height.|fifty royal cubits in width, and two hundred in height.
LJ028-0145|And here I may not omit to tell the use to which the mould dug out of the great moat was turned, nor the manner wherein the wall was wrought.|And here I may not omit to tell the use to which the mould dug out of the great moat was turned, nor the manner wherein the wall was wrought.
LJ028-0146|As fast as they dug the moat, the soil which they got from the cutting was made into bricks,|As fast as they dug the moat, the soil which they got from the cutting was made into bricks,
LJ028-0147|and when a sufficient number were completed they baked the bricks in kilns.|and when a sufficient number were completed they baked the bricks in kilns.
LJ028-0148|Then they set to building, and began by bricking the borders of the moat, after which they proceeded to construct the wall itself,|Then they set to building, and began by bricking the borders of the moat, after which they proceeded to construct the wall itself,
LJ028-0149|using throughout for their cement hot bitumen, and interposing a layer of wattled reeds at every thirtieth course of the bricks.|using throughout for their cement hot bitumen, and interposing a layer of wattled reeds at every thirtieth course of the bricks.
LJ028-0150|On the top, along the edges of the wall, they constructed buildings of a single chamber facing one another,|On the top, along the edges of the wall, they constructed buildings of a single chamber facing one another,
LJ028-0151|leaving between them room for a four-horse chariot to turn.|leaving between them room for a four-horse chariot to turn.
LJ028-0152|In the circuit of the wall are a hundred gates, all of brass, with brazen lintels and sideposts.|In the circuit of the wall are a hundred gates, all of brass, with brazen lintels and sideposts.
LJ028-0153|The bitumen used in the work was brought to Babylon from Is, a small stream which flows into the Euphrates|The bitumen used in the work was brought to Babylon from Is, a small stream which flows into the Euphrates
LJ028-0154|at the point where the city of the same name stands, eight days' journey from Babylon.|at the point where the city of the same name stands, eight days' journey from Babylon.
LJ028-0155|Lumps of bitumen are found in great abundance in this river.|Lumps of bitumen are found in great abundance in this river.
LJ028-0156|The city is divided into two portions by the river which runs through the midst of it.|The city is divided into two portions by the river which runs through the midst of it.
LJ028-0157|This river is the Euphrates, a broad, deep, swift stream, which rises in Armenia, and empties itself into the Erythraean Sea.|This river is the Euphrates, a broad, deep, swift stream, which rises in Armenia, and empties itself into the Erythraean Sea.
LJ028-0158|The city wall is brought down on both sides to the edge of the stream,|The city wall is brought down on both sides to the edge of the stream,
LJ028-0159|thence from the corners of the wall there is carried along each bank of the river a fence of burned bricks.|thence from the corners of the wall there is carried along each bank of the river a fence of burned bricks.
LJ028-0160|The houses are mostly three and four stories high;|The houses are mostly three and four stories high;
LJ028-0161|the streets all run in straight lines, not only those parallel to the river, but also the cross streets which lead down to the waterside.|the streets all run in straight lines, not only those parallel to the river, but also the cross streets which lead down to the waterside.
LJ028-0162|At the river end of these cross streets are low gates in the fence that skirts the stream,|At the river end of these cross streets are low gates in the fence that skirts the stream,
LJ028-0163|which are, like the great gates in the outer wall, of brass, and open on the water.|which are, like the great gates in the outer wall, of brass, and open on the water.
LJ028-0164|The outer wall is the main defense of the city.|The outer wall is the main defense of the city.
LJ028-0165|There is, however, a second inner wall, of less thickness than the first, but very little inferior to it in strength.|There is, however, a second inner wall, of less thickness than the first, but very little inferior to it in strength.
LJ028-0166|The center of each division of the town is occupied by a fortress.|The center of each division of the town is occupied by a fortress.
LJ028-0167|In the one stood the palace of the kings, surrounded by a wall of great strength and size;|In the one stood the palace of the kings, surrounded by a wall of great strength and size;
LJ028-0168|in the other was the sacred precinct of Jupiter Belus,|in the other was the sacred precinct of Jupiter Belus,
LJ028-0169|a square enclosure two furlongs each way, with gates of solid brass; which was also remaining in my time.|a square enclosure two furlongs each way, with gates of solid brass; which was also remaining in my time.
LJ028-0170|In the middle of the precinct there was a tower of solid masonry, a furlong in length and breadth,|In the middle of the precinct there was a tower of solid masonry, a furlong in length and breadth,
LJ028-0171|upon which was raised a second tower, and on that a third, and so on up to eight.|upon which was raised a second tower, and on that a third, and so on up to eight.
LJ028-0172|The ascent to the top is on the outside, by a path which winds round all the towers.|The ascent to the top is on the outside, by a path which winds round all the towers.
LJ028-0173|When one is about halfway up, one finds a resting place and seats, where persons are wont to sit sometimes on their way to the summit.|When one is about halfway up, one finds a resting place and seats, where persons are wont to sit sometimes on their way to the summit.
LJ028-0174|Other ancient descriptions of the walls have been left us by Ctesias of the fifth century B.C., and by Strabo of the beginning of the Christian era,|Other ancient descriptions of the walls have been left us by Ctesias of the fifth century B.C., and by Strabo of the beginning of the Christian era,
LJ028-0175|but they add little to our knowledge.|but they add little to our knowledge.
LJ028-0176|Should we compare these ancient descriptions of the walls, we should find them hopelessly conflicting.|Should we compare these ancient descriptions of the walls, we should find them hopelessly conflicting.
LJ028-0177|However, they teach us that in those early days when most cities were surrounded by enormous walls,|However, they teach us that in those early days when most cities were surrounded by enormous walls,
LJ028-0178|the walls of Babylon were so long and wide and high that all who saw them were amazed.|the walls of Babylon were so long and wide and high that all who saw them were amazed.
LJ028-0179|It is only from their ruins that we may hope to obtain accurate information of the strongest fortifications in the ancient world.|It is only from their ruins that we may hope to obtain accurate information of the strongest fortifications in the ancient world.
LJ028-0180|In the year 562, after a long reign of forty-three years, Nebuchadnezzar died.|In the year five sixty-two, after a long reign of forty-three years, Nebuchadnezzar died.
LJ028-0181|He was followed by three kings whose reigns were short,|He was followed by three kings whose reigns were short,
LJ028-0182|and in 555 Nabonidus, the father of the Biblical Belshazzar, came to the throne.|and in five fifty-five Nabonidus, the father of the Biblical Belshazzar, came to the throne.
LJ028-0183|Cyrus, the King of Persia, was rising to power, and after he had defeated the Medes|Cyrus, the King of Persia, was rising to power, and after he had defeated the Medes
LJ028-0184|he extended his empire to the Mediterranean and even to Egypt.|he extended his empire to the Mediterranean and even to Egypt.
LJ028-0185|Perhaps Babylon was so strongly fortified that at first he made no attempt to add it to his empire,|Perhaps Babylon was so strongly fortified that at first he made no attempt to add it to his empire,
LJ028-0186|but when Nabonidus joined with the King of Egypt and with the wealthy Croesus of Lydia in an alliance against him,|but when Nabonidus joined with the King of Egypt and with the wealthy Croesus of Lydia in an alliance against him,
LJ028-0187|Cyrus decided that Babylon must be taken.|Cyrus decided that Babylon must be taken.
LJ028-0188|In 538 the city fell, and for a time it became the home of the Persian King.|In five thirty-eight the city fell, and for a time it became the home of the Persian King.
LJ028-0189|The fall of Babylon with its lofty walls was a most important event in the history of the ancient world.|The fall of Babylon with its lofty walls was a most important event in the history of the ancient world.
LJ028-0190|A great empire which had existed for more than three thousand years was brought to an end.|A great empire which had existed for more than three thousand years was brought to an end.
LJ028-0191|The old enemies of Babylon rejoiced.|The old enemies of Babylon rejoiced.
LJ028-0192|"When the news came to the Hebrews, who were held there in exile, they excitedly rushed about the streets, crying: ""Babylon is fallen,"""|"When the news came to the Hebrews, who were held there in exile, they excitedly rushed about the streets, crying: ""Babylon is fallen,"""
LJ028-0193|and to them came hope of returning to Jerusalem.|and to them came hope of returning to Jerusalem.
LJ028-0194|"But how did the ""mighty city"" fall? How could Cyrus take Babylon whose walls were strong enough to resist any army?"|"But how did the ""mighty city"" fall? How could Cyrus take Babylon whose walls were strong enough to resist any army?"
LJ028-0195|It is a long story. Poets have sung it. Historians have written it. Prophets have preached it. Legends have gathered about it.|It is a long story. Poets have sung it. Historians have written it. Prophets have preached it. Legends have gathered about it.
LJ028-0196|"Every child knows the story of ""the writing of the hand on the wall."" It was the night that Babylon fell."|"Every child knows the story of ""the writing of the hand on the wall."" It was the night that Babylon fell."
LJ028-0197|Belshazzar, the King, he was really the King's son, gave a feast to a thousand of his nobles.|Belshazzar, the King, he was really the King's son, gave a feast to a thousand of his nobles.
LJ028-0198|In the great banquet hall of the palace, when the guests were drinking from the golden cups, and the revelry was at its highest,|In the great banquet hall of the palace, when the guests were drinking from the golden cups, and the revelry was at its highest,
LJ028-0199|there suddenly appeared upon the wall an armless hand.|there suddenly appeared upon the wall an armless hand.
LJ028-0200|High up, where all might see it, the armless hand wrote the King's fate.|High up, where all might see it, the armless hand wrote the King's fate.
LJ028-0201|Thou art weighed in the balances and art found wanting.|Thou art weighed in the balances and art found wanting.
LJ028-0202|"In that night, so the story ends, ""Belshazzar, the Chaldean King, was slain."""|"In that night, so the story ends, ""Belshazzar, the Chaldean King, was slain."""
